### WinPython 2024-03 release (June  22th, 2024)


 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
73c01e518a3da0d338fb14be0c67c52c | 7dfbee2cb84686fb88e75a8d453fc41b60d222cb | 2d55dc7bed91858629bafeba5d5e703b51f45c46dc12044dea7f9f709269fdce | Winpython64-3.12.0.1b5.exe        |  571 171 632 Bytes | f8aaa787d763e4e350b618cbd19401c49c5197d18b6b1348669df5b41ca10aff


### WinPython 2023-03 release (September 28th, 2023)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|-----------------------------------------------------------------
e7c9bbe0480296192a087475214d82d0 | c1d70b0602357614f993975ebff149cb8db4d56b | 9399d24addcfa14450b408c1988b0350f4e9d58ab2ae9a2445b9dab6484f4fae | Winpython64-3.11.5.0dot.exe       |   25 139 984 Bytes | 368c68f07f5717ec69523f0d0ca3d3de97394c489baa74301a2ad498a767c43e
c6a63eca7bb0ed59612781cb508ce4a7 | 0a1f13fac46a9457ca26144cedc2b6d981ba5d9b | 5b053362706b2cb9561ebd064570813dafc99598b7c7d9473e7361313b820178 | Winpython64-3.11.5.0.exe          |  790 793 444 Bytes | 21a9014a64ed7f4ab8668599d744ee54a14893e62f6ad9b5a394ce7b96040d6b
9fe0fd44b0f33c4d23739245c5b491af | 24d47348cf722c79ba354b854733c4e2d808cc83 | 0b2037660064589dd73a58ac17f44d9e657cfc5fcea92cec9223185243a0a3bc | Winpython64-3.11.5.0mkl.exe       |  789 143 611 Bytes | c09c0831480e2da584509fa8e2a2ea9a98d87e84eebf5eb8f9061e8ec9b82e31


### WinPython 2023-02 release (July 15th, 2023)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|-----------------------------------------------------------------
83b5c99aa9303f93c06241928a1ef51c | 8c28ab41e68f53faa081530324c26dbe7b028935 | 09dacbf391adb11ace34eb90cd02ae3fc3749df612b8a1fd288e7e5c47bc1973 | Winpython64-3.11.4.0dot.exe       |   31 541 585 Bytes | ea780b4c7781dda507a09fa7ef856fe58b2f49959f849f3f1a01106d5fda35fe
6d9f7fed5327257aa86be3b7caa6916d | 11dbfa8c2ec1d225bdb0c6f19f75d62c12e640c4 | 193233967bd2b6a6cd705ac3b17dac9c4864ae8e56744a2b89caed91f2fb6f05 | Winpython64-3.11.4.0.exe          |  785 746 334 Bytes | feba52aca59c85f8efce1ee58fd28c052f7505966728268481f9405956e70f41


### WinPython 2023-01 post1 release (May 27th, 2023)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|-----------------------------------------------------------------
a7fe7f5ded089dcf9a201ee78dfeeb6f | 88f5b5a3fa2467173b2fe7c992a6a51ae6bc388b | ec9345932a86101f15b6171fc261b5a7dca1d71095f6e87fe88ec8bdd099b030 | Winpython64-3.10.11.1dot.exe      |   27 575 243 Bytes | 63b780813da7f44b1780c844aea23a45492b04e398a191ea96d66bd21903aa4c
5e9b5296702ee5a940934d50b34a1c4f | 162d9493d0a51b4eb0538359fb9bcc4d80784f62 | 7f1bded910ba7815c3e8fc3a5142a9722513967a323cf013d24380a0909090da | Winpython32-3.10.11.1dot.exe      |   26 334 232 Bytes | 869728880d39a73f95ae93d3a95a07e57aba03f7671fbe37c029d752027cf3ee
0e88475fabee48a8a6131be13d49b1c0 | c4241cfa5d0a5ffca6fb7a34856379598f8e6439 | 057c85cd548018d2642ff7ee84eca976ccf3e87ce23748ceec8058e5ed7fff15 | Winpython64-3.11.3.1dot.exe       |   24 571 543 Bytes | d262eaebdd0e3f2dce678b9766f21acbc35826d820d8cd283035434fefb4d899
f553004fdd1bbe93640f0c6bdd59b2ac | 1ed286c1738b98a679dcd078910415895beca8f2 | 4bc2c603ed1e0c2c075293c0a65e5262556e713958559c7f61b97d5a66a1334d | Winpython64-3.11.3.1.exe          |  756 264 155 Bytes | 7c76c4f26f6fe10b5087833ee8a29ae353ab7788a0ad825485dbe58334cf4452
d68cc41f43bf17e95ed32c5a2ebef8ed | 21b772df6eaa191c667d4ac1d01d630050b39bcd | 94bc3e43fbc8b9789c51739a5155e1f3ee73b9a0e91287be9740b04d728c43d2 | Winpython64-3.10.11.1.exe         |  712 604 591 Bytes | c1b18d8fd9e58e3d847c22c91b1f055805b0e8861bc2d17ce951e970cf40ba73


### WinPython 2023-01 release (May 25th, 2023)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | blake2b-256                                                     
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|-----------------------------------------------------------------
783fdac252e27e5e6d73091d384793ab | 336f18cf77a98089ca8cdfad6978b62e9bcc13dd | d227bbbff3fad5be3eb80a82364fb135d5bb644a0467ea4c2083e8e1bdda12d5 | Winpython64-3.10.11.0dot.exe      |   27 575 827 Bytes | 4fdb57837b04bda64c526471391a21c994c6667b89af0697f71c414122b3b6b8
3909fb74d2d47085ebc2d7a0a35c5cc1 | ce6fba0cfde554b1c9efb8526c86746ef4e77873 | b0b3fd72fc6043aee6698ea22e55aa8dfe74828ce9cc1a198d925de83ba3188d | Winpython32-3.10.11.0dot.exe      |   26 327 225 Bytes | bceb8e1d38d63e6679b3bc8e48ce07a7e41d50de2cc19e9976b1e3c63ed3e04f
49853641436d13124bdc2f410900f4e5 | 82826e62931df18ddd548f929d3bc55d5a3d9446 | 400323ac0593b38557d274011469722d5abde9c2a0f7d7f8bea3948214163134 | Winpython64-3.11.3.0dot.exe       |   24 565 218 Bytes | 038a32947edc0c9689f3f22e294b585cc98fbc40386a543b746164ae0c5fa860
87f4cc2f3d09dd7410b271ea4b956213 | ce251010a2eb94a781f33ac9363fb5e32fceba7c | 9cb8b6e898e4c6e0d40f26103bf69f6a68fe5b6614289877c9532c317f9f3884 | Winpython64-3.10.11.0.exe         |  712 648 485 Bytes | fe61017c2d1f82871a9416a0d739bd835c231f6c662fcc5ae270acc29d45b2c1
e1f5fd5851c4739478bae21918a03444 | c4ed610a064a18960e59f983509eac72ace2ad50 | 4579950067238e0510449da6bd40452a9a9c75a5ee5d48cd405528b6b3b8904e | Winpython64-3.11.3.0.exe          |  756 217 260 Bytes | 0fa376f25ceeafee58ce4a33ff23cf66b974eb8596cebb73f7674009604b63e9


### WinPython 2022-04 release (January 22nd, 2023)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
5d6c22345a952affe1266a92abf14ceb | 7ba4581efb578247ba3ee2d998162135e3ef83b3 | 7c61728acb13954ba862348116676c30617aec8fc45536fa882c9b0dd9278eda | Winpython64-3.10.9.0dot.exe       |   27 467 759 Bytes | b1a6760c984ccdbd13df31c742bf6dbb2b5246f617781f313e2db843dc6d89ff
ba3268df9d7e5206dee6b7a42dbab8a7 | 214ebb0110df945f37be8ff884447103b69d7d70 | 49738ff219cd23cd1e96afaf2a6b8eabdcdb04575167dd46e1f132e946821326 | Winpython32-3.10.9.0dot.exe       |   26 249 584 Bytes | 3e39907400b728719093edb0a67213da956f243caeaaf13842faeab1b0ee9235
46a26e25ca6524ebaabfa04b390d3b91 | da52d4ab1bdf923aaf36f69f5d8eeb057e8eab84 | 1577b72582c04fb43f2353c17d09c41f927f8a4994f33a2a6689e2558ade0204 | Winpython64-3.11.1.0dot.exe       |   24 404 166 Bytes | e5fa479d2d5948f0e399c08bcfe30ed088dc10d726ba2406ec22c5d65a6769f3
8e3fb06b4ae8e3741207bd650b62df15 | 3a2600c37217d9be245ec67f1a1154af282424d6 | 6d265a1b795d3a444a8890db114f8cd7153b41378a02bd21cb2bcd5ba431c4e3 | Winpython64-3.10.9.0.exe          |  683 571 740 Bytes | 3cef6ad93ef127063b24b112c7a4e9437878033e0dee486c5d80991c964ee860
8ba6cb889fba7bd208a36cdd123dbcb6 | aa63897b18bb8bb35b236a1068501552290c24f8 | 7664b45097ab206828a9c1de7b03c14d622dc2bb94733075c62a6174c2252698 | Winpython64-3.11.1.0.exe          |  562 936 337 Bytes | 024c570acf8bd6a0f5ce6fad784ff6791323f984c911a81523da485bcc9432ae


### WinPython 2022-03 release (October 30th, 2022)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
ddcfebb483561e19c7ea36678d456ae4 | dd216a3d392e91c4fddb5a0754350b67a96334c5 | bd454f8df90d6ea6405780e6da71decb96ddfbbb0a5d5a33461203a7a5995651 | Winpython64-3.10.8.0dot.exe       |   27 466 400 Bytes | 7fe08bb7d40660226e18fd32a68264aca7985d7983d4eff9bcebd05ae3ff8517
151b9df707bccb9a480b0d05d4248e18 | 41571505425d9a44faadc0e4c5d4a6964ec472c0 | 8d383bca244ab1b19d258aae73c334975337e3f05dd44f75accbaa22bd899734 | Winpython32-3.10.8.0dot.exe       |   26 248 844 Bytes | 1de63e569cc827eaa8f481eedaeab65457c63c2108462cb90e8554d1adacb7cb
ac435f86d6a6fa48c423fcb8260a2e30 | 33519c39ba5660c14662c35a09a2fa707b2f3ccd | bba6f7c6c59a3c58400e8a131dca645cc2240be4a41c3042433c8f01e5a4154d | Winpython64-3.10.8.0.exe          |  677 301 325 Bytes | 020e8096eccb8a4e91adb46adbe0e9db97725c3c9a26427579fb239c0c0ded7c
e3e9ab1d123445a12e9e0095f87a8fa7 | 5c2d24aabbb11dba9bc87bb39d63d0d7770c43b3 | 7f288344ece6fa07d23915cab90c35a50d16a4a5aa3c624c3e925f5b9f903ebc | Winpython64-3.11.0.1dot.exe       |   24 378 166 Bytes | 91e7727fa7c669d566f2e1147531396e3d57b2a35b45619add416b0cdbb2369f
16126719208df4f0c3210d0a339a5720 | ec155373f96c331b71ec7e63c8f9b37457b92ec2 | 98c4046930b16e79fcd33a742c15cc868cf14388793105864d69e50718320029 | Winpython64-3.11.0.1.exe          |  527 837 583 Bytes | 6f732e253db5a44b8400ebbcc7e570d8123c38e3773ee92550e154f2da415ce5


### WinPython 2022-02 release (July 16th, 2022)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
0a6824610fea353dd638eb2a95fc32fc | dfde708115660a5c8cb02e75ea4599b5cb02c4df | ad3f373507c3d2f3d4464b8357e8de158759a9c15a91c18a60dece81982e5f69 | Winpython64-3.10.5.0dot.exe       |   27 366 561 Bytes | 7488af117f2bca3479dca8ca7b00f0d51a5ed16b034b355407865e7dbc3a5e9d
072485b4db8bf86e0809243686f88640 | 467f4a6e771c214cf96b5319c6a11ce1af28657c | 56c80896ee47518e50aaa3e406b74c061ca9c2df7af1dc08ac2aa7ffae9ba7d9 | Winpython32-3.10.5.0dot.exe       |   26 137 156 Bytes | 79b0e1178a48489eb27a9ead064a56084e1ac4b693a27a24ee5052ee79f25969
6c63a617ecd37584cb879a0616c52a9c | 04739dd7269fdd308b77396640f93ae0fb633d23 | d764a44195a82a3ced78ec6ac1a813ac359e42d7cfc4b3cde56332c5e9dadbe7 | Winpython64-3.10.5.0.exe          |  813 643 148 Bytes | 042dbe458c7a35b7d5eb339fbbe1223ba3c63bc5f1775c8ca9229772c162fb26
1d709a4594cef7bae442a7d3fe4c8b72 | 65ea889e2b1ccf2d41c6050c1c04c1c17523c6aa | 9d6bf90b7a26e0841f27e4132723cb15d706a8adcdfc93cf7dcdbc57eddc1339 | Winpython64-3.8.12.3dotPyPy.exe   |   27 105 401 Bytes | cd0692219f5383ecf8d19a721362003cf90b1ed5faee4b9fb6da305e16fce601
ec3492f2154b9de3a5c4f0e8f3e08f2a | 731b7417a60c24d01084b94efbc79994eee6b14f | 1823a9947e86d1482bc61c0ff8b17b761b53dc6814d9c263ad37a22b6ac3c819 | Winpython64-3.8.12.3PyPy.exe      |  674 355 022 Bytes | a0ec9711c3fc550bf2b6d3c03b6712af76988cfe65ce35ead23fadd447be57e7


### WinPython 2022-01 release (May 3rd, 2022)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
95e819597c5818a4fcff147b9ce6a99e | 0fa05795b825fcf1da40cd663232c7d5f08cbf3c | 1392f19ebe51faeeaf361f0712356b94a0c18333fc37998425c76791efc99fd8 | Winpython64-3.10.4.0dot.exe       |   27 238 910 Bytes | 7fe53ff86b66b3507672ff95186feeea858e352bdbc46b1618532ef2ec355b97
154ed6d36a666e4183730bbc7bdba523 | c7a999cca14ff66748c9dcc4d14e0927bc13a795 | 644c435bdc234d9b7e5fa4f34cc30d16bc0ee7cae46377da8f3d264d38c37263 | Winpython32-3.10.4.0dot.exe       |   26 014 914 Bytes | b86f14bee5517f351959b0a65f44e0c2bb05312e4a7b0f18ee213e0fcfcc8ae2
9bd5be2f6871b5160296f750f9e09d94 | 9ebd35edf2fbadec4c1aaf8bfa17fa80265b6eeb | 478372b1cffad26ddba5fcb00635be441a1936fdeeb2956d5790d0867c5e46fd | Winpython64-3.8.12.2dotPyPy.exe   |   27 085 897 Bytes | 61c8cdbb6c40b9cd3a3e1f8ecb3ad157d3066de68ec3d497f9f62e1ddb0ef7c9
15e69aeac0aee7c8371874da08e36350 | e8d8a241d1a887e80ebd4fd4dd67bd29ea23979a | 0a379c8a8d09ff083fd9a7b5cdb30d60d4446efaefdccae71f67f0602222f636 | Winpython64-3.10.4.0blas.exe      |  588 926 769 Bytes | 28b4bccc46179eebf971a59f0b8aca97f894ad9cc14a359c6170c14bfafea31a
5759ac25156174ee1ad02afa2991357c | ba495c787ec432eb572124d96b4773102d4ce274 | c4f2ac9b326df4b9c2dcf31edd8bb1f5329cd2c7e5ba4c6fbab8fcdc019e2132 | Winpython64-3.10.4.0.exe          |  805 194 942 Bytes | 9d2f7256bca12bbc540a514f7948dcebb5ddf5d366f581caa4abd8e37f2da02a
6d9714a923f6e96350e9a5a29bc2be22 | 5becd78d61872bfa6dc4452d6ec3cfd5fcd4ae70 | 975fd43430f7373246731dc5eae1549944c1755f4de077aacd9d2d8af6d2d241 | Winpython64-3.8.12.2PyPy.exe      |  672 300 425 Bytes | fc9552d0cb3dafef09aa95ce7cf8326163631e0ead0623a018b8430efb555305


### WinPython 2021-05 release (January 25th, 2022)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
f89ffddb6baafd0cda00639cb27be51f | 7e7b86b05a8ba04b5eee1d8c7be580350fd6af18 | 3e7668eb8206b5e63ce52aef2f81c3513e51614acc9b8b7447e7c7af183f56cb | Winpython64-3.11.0.0dota4.exe     |   27 320 030 Bytes | 09d2caa336aa0b19230b1ce60eb16570d67b299a51de08a401f334b90752958d
b129f1cce35343fd96f824fc19a25f23 | 4c0c25c08f738341879143e37ce15bb162be23d3 | aeb1a08b0e0d80f1c3088fae1069f3a913da00dffe3be7b25800257c137ac51b | Winpython64-3.10.2.0dot.exe       |   26 265 889 Bytes | 394b0687284e41239356407d572eca23d76e97014c2f78371d17396fa8f4f7f7
875470e76953b37ddfe1f0c8f2489ad9 | 2a8c0431c86998c3f7339ef50d8d270abe7824a8 | d762e9c74016947d50451fd14033927c861bbc1801ad02a86f727f1503ebe59a | Winpython32-3.10.2.0dot.exe       |   25 034 027 Bytes | 3b45eeb727bb1dfed5ed732c8f7646e7246ff6e75c06ded62ace85b2e7af115a
27c7f5ba309c75d4156472f94df5f999 | e96cabce38ddc6178575127281f4f2ab5cdee0ad | c7d41083435940906998f07f4d2abfad27108b7854653d4e41c0e329e32c55b0 | Winpython64-3.9.10.0dot.exe       |   26 475 751 Bytes | 78d302debbc4488d992f5594bd469b2a86ff9bf8bbbf09f25658e1f32f2bc1cf
03150fc86fd56d8d067721100fd2a097 | 1c72ea2134ca71edf346cff60f64db81fbc4d94b | 497f9b4d1d3bebc3606c94911673b843dda3f0b226876b7240982e3e874bb52f | Winpython32-3.9.10.0dot.exe       |   25 358 253 Bytes | 91ba91f6999331d2bd902cdf29141bffd18d31dc159d943cbcf6b46dc57ca3bd
54c3befe8eca7c62ae453fa497228ce2 | f2c867670e877bd7d22077d1761cfcb4a00f8d22 | 09d197889b86062e9090fdc716bd16f5f604290cec3c68a0444eb7cd18f24f93 | Winpython64-3.9.10.0.exe          |  857 520 123 Bytes | 82c08f19ef5fc7232c5bae5deef042d2b09f61835cd713a61bc97e8b109e2b6e
ea78ad02b6ac45e9025c9340836fc3d6 | 7db8d4d2e2c04fb4b41731d6287a3b2a02edec6b | 26f057ccbad8b9dd5b42a18ba2dc8d3a8c2a8a9cbd6d199239e956d361540790 | Winpython64-3.10.2.0.exe          |  710 798 132 Bytes | 2e9270f58bbc55044301b94a47a900181b3830ba6bc074a2d2a45c6bd822a34d


### WinPython 2021-04 release (November 11th, 2021)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
b2730089191fee7efbc5fb01307b63ba | 7c2d4d980192e9f956db1e29850900b281d6f214 | dc2b8d5d054030588df3d7ecff4505c329bddbf32e713963e1267a0bbc5473f2 | Winpython64-3.7.12.0dotPyPy.exe   |   25 440 506 Bytes | 2ad472aa11411fbccd0221f1742ecd13506e68b707acf3b18bbdd73421926ff2
263d70e3d3b2042c69eba55ed0ca357c | a0cc975834c6e68c1a153d2decb2c60c80232219 | dc99e68f40b811ca18ec2dd62ac4719f46c53ab27d13a3f9169f1089883d9a75 | Winpython64-3.7.12.0PyPy.exe      |  535 097 313 Bytes | 434892d86f1a483bd8eff1235e66adc0f9532e9aa12a5aabcbedb487c804ba06
bbc219fe630c0927ddd87edc33544e2a | b71ce97dc21f9adef7c8d9e9191a860a734353ca | 5536619fef39a114e188f89cbd5dca61a47d84927bf2b13208c09f1bc5bd9984 | Winpython64-3.8.12.0dotPyPy.exe   |   26 974 875 Bytes | 4596fa15564f7dd12e5b52e9b0538ebf4957d0d63bde04ebe9859bf2e6b30bb3
ecf9ab4dd5d6e72013fd0203d179f6c4 | f2bb62184b77d372868712cf6103969f04098778 | e0d9e4a3499f11ee9e858c76b9c29d26c083dc6e8bf062642a142ec2760c5788 | Winpython64-3.9.8.0dot.exe        |   26 488 781 Bytes | e1d9bdc6b07b5c01241d6dd4b36d402837a84d0210222477fc9cf3e02e39875c
4b4106fa925b5f88bd4ecc148474473e | a96bec8eeb0242ea2dbfd8d6c400f8d810d878d2 | 1999e317b227a42e4cb78bb81f8a9e085ff9b4442143bedd0ad3436374e1766a | Winpython32-3.9.8.0dot.exe        |   25 351 074 Bytes | 5649f6c702136cee993d97ff504c1b6811d4c2a0fbe0ffb920af9a62767a462d
f4c61e49cf67e742a654350feca548bd | e12a018686e01dcf21264265090f7d74b026f0dc | 71293ed6d029b74de1883046270f0d354e7272a65cab5acb7ca729b51e6abe06 | Winpython64-3.9.8.0.exe           |  826 270 488 Bytes | 3f46fe687ac82706b857be1c1ee12eb735ae4e55661ab2cb84e7a0c4de463411
4a1c75708ab3a0bc269f61495cf2086a | dd6dcc90e5af0dd151f0dc8c3253b39d86afb149 | 8f1db900eff72d2bcd75e08780775ee519d28d4a2fbc4afeab191215c9802fd3 | Winpython64-3.10.0.1dot.exe       |   26 364 268 Bytes | cf6618c2bd7f2fd18279fd055c24d7fe71fa054a6243ed40eb6805fe4bf445b2
386050017b6df8ad50b9460bbb50bdcd | 13d92080bcafe3020a12856cdca7c2fbc226fec2 | a6a30c4bd70b30e2aff5e0d77daf6906881fce4889e73d4725cac2a1ae5b1f2b | Winpython32-3.10.0.1dot.exe       |   25 160 853 Bytes | c8d1ddd64012faa271ef074a7e69cd2b7ff87d3b9f4bf8e360468c6795da280b
698582e3ee1a23c6052add65f105e7f6 | 2267409221d8f252bfbbea8855b5fdbb0a92c1dd | 42ace86f9b6b4ef54d9dc69cf166cad07a1c0ac163f7340cc4e890562a47bd79 | Winpython64-3.10.0.1.exe          |  633 012 843 Bytes | 36864b305d4ef9beb5b84731d8bd31dccfd526e72984525d90868728bc2e982e

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
c92d2e3d003bc28ad8c5a98c8d2ab3d1 | de8c6cbab635d5d6adae740f203de4fb0f701f58 | 2f25e5f539668044ae30155318c3dbf9d23e2cf38f29b9598f3b08daa390e267 | Winpython64-3.9.8.0post1.exe      |  843 570 185 Bytes | 15b50f9e7ec2cef4e3f6730c3715ff1b627f954ed050f1348deae121ea9efdfc


### WinPython 2021-03 release (July 4th, 2021)

 MD5                             | SHA-1                                    | SHA-256                                                          | Binary                            | Size               | SHA3-256                                                         
---------------------------------|------------------------------------------|------------------------------------------------------------------|-----------------------------------|--------------------|------------------------------------------------------------------
